key_locality_sub_;Étiquettes de lignes;locality;Min. de prix_m2_2;Moyenne de prix_m2;Max. de prix_m2;
APARTMENTAalst;APARTMENT;Aalst;539;3153;4624;
APARTMENT_BLOCKAalst;APARTMENT_BLOCK;Aalst;1030;2070;3084;
DUPLEX-TRIPLEXAalst;DUPLEX-TRIPLEX;Aalst;507;2377;5507;
FLAT_STUDIOAalst;FLAT_STUDIO;Aalst;4066;4280;4501;
GROUND_FLOORAalst;GROUND_FLOOR;Aalst;1736;2884;4500;
HOUSEAalst;HOUSE;Aalst;658;2142;4082;
LOFTAalst;LOFT;Aalst;1919;3043;3561;
MANSIONAalst;MANSION;Aalst;1322;1322;1322;
MIXED_USE_BUILDINGAalst;MIXED_USE_BUILDING;Aalst;854;1407;2129;
PENTHOUSEAalst;PENTHOUSE;Aalst;2905;3649;4500;
SERVICE_FLATAalst;SERVICE_FLAT;Aalst;2647;3069;3425;
VILLAAalst;VILLA;Aalst;1887;2515;3028;
APARTMENTAntwerp;APARTMENT;Antwerp;1357;3370;12447;
APARTMENT_BLOCKAntwerp;APARTMENT_BLOCK;Antwerp;945;2645;14545;
DUPLEX-TRIPLEXAntwerp;DUPLEX-TRIPLEX;Antwerp;1424;3720;11960;
EXCEPTIONAL_PROPERTYAntwerp;EXCEPTIONAL_PROPERTY;Antwerp;1574;3426;6997;
FLAT_STUDIOAntwerp;FLAT_STUDIO;Antwerp;1759;4201;10904;
GROUND_FLOORAntwerp;GROUND_FLOOR;Antwerp;956;3242;5271;
HOUSEAntwerp;HOUSE;Antwerp;590;2460;7194;
KOTAntwerp;KOT;Antwerp;3028;7599;12333;
LOFTAntwerp;LOFT;Antwerp;2226;4524;8832;
MANSIONAntwerp;MANSION;Antwerp;1266;2681;5139;
MIXED_USE_BUILDINGAntwerp;MIXED_USE_BUILDING;Antwerp;708;2262;7815;
PENTHOUSEAntwerp;PENTHOUSE;Antwerp;1289;4786;12573;
SERVICE_FLATAntwerp;SERVICE_FLAT;Antwerp;2588;3779;6154;
TOWN_HOUSEAntwerp;TOWN_HOUSE;Antwerp;1255;2245;2939;
VILLAAntwerp;VILLA;Antwerp;687;3480;8706;
APARTMENTArlon;APARTMENT;Arlon;611;3298;5453;
APARTMENT_BLOCKArlon;APARTMENT_BLOCK;Arlon;689;1911;2512;
DUPLEX-TRIPLEXArlon;DUPLEX-TRIPLEX;Arlon;1975;2559;3143;
EXCEPTIONAL_PROPERTYArlon;EXCEPTIONAL_PROPERTY;Arlon;1697;2036;2289;
FLAT_STUDIOArlon;FLAT_STUDIO;Arlon;3822;4062;4256;
GROUND_FLOORArlon;GROUND_FLOOR;Arlon;2871;3245;4133;
HOUSEArlon;HOUSE;Arlon;407;2152;5129;
MANSIONArlon;MANSION;Arlon;1563;2083;2642;
MIXED_USE_BUILDINGArlon;MIXED_USE_BUILDING;Arlon;625;1674;2530;
PENTHOUSEArlon;PENTHOUSE;Arlon;2810;2810;2810;
TOWN_HOUSEArlon;TOWN_HOUSE;Arlon;2692;2692;2692;
VILLAArlon;VILLA;Arlon;1276;2206;2902;
APARTMENTAth;APARTMENT;Ath;1171;2607;3841;
APARTMENT_BLOCKAth;APARTMENT_BLOCK;Ath;1043;1741;2438;
DUPLEX-TRIPLEXAth;DUPLEX-TRIPLEX;Ath;1875;2135;2654;
EXCEPTIONAL_PROPERTYAth;EXCEPTIONAL_PROPERTY;Ath;1316;1570;1716;
GROUND_FLOORAth;GROUND_FLOOR;Ath;1284;2391;3429;
HOUSEAth;HOUSE;Ath;416;1822;6000;
LOFTAth;LOFT;Ath;2525;2651;2778;
MANSIONAth;MANSION;Ath;1179;1679;2180;
MIXED_USE_BUILDINGAth;MIXED_USE_BUILDING;Ath;1108;1565;2438;
PENTHOUSEAth;PENTHOUSE;Ath;2098;2601;3831;
TOWN_HOUSEAth;TOWN_HOUSE;Ath;1167;1341;1515;
VILLAAth;VILLA;Ath;850;1998;4198;
APARTMENTBrugge;APARTMENT;Brugge;967;7146;21250;
APARTMENT_BLOCKBrugge;APARTMENT_BLOCK;Brugge;1438;3242;5859;
DUPLEX-TRIPLEXBrugge;DUPLEX-TRIPLEX;Brugge;668;8547;21184;
EXCEPTIONAL_PROPERTYBrugge;EXCEPTIONAL_PROPERTY;Brugge;684;6360;14865;
FLAT_STUDIOBrugge;FLAT_STUDIO;Brugge;2105;6340;12344;
GROUND_FLOORBrugge;GROUND_FLOOR;Brugge;613;4467;20704;
HOUSEBrugge;HOUSE;Brugge;490;3478;20242;
KOTBrugge;KOT;Brugge;3667;6165;9167;
LOFTBrugge;LOFT;Brugge;3231;3464;3696;
MANSIONBrugge;MANSION;Brugge;538;2720;5335;
MIXED_USE_BUILDINGBrugge;MIXED_USE_BUILDING;Brugge;997;2486;7813;
PENTHOUSEBrugge;PENTHOUSE;Brugge;2494;8195;20905;
SERVICE_FLATBrugge;SERVICE_FLAT;Brugge;1909;4302;8594;
TOWN_HOUSEBrugge;TOWN_HOUSE;Brugge;1151;2713;8386;
VILLABrugge;VILLA;Brugge;429;7819;20242;
APARTMENTBrussels;APARTMENT;Brussels;1409;3812;10898;
APARTMENT_BLOCKBrussels;APARTMENT_BLOCK;Brussels;653;2688;19091;
DUPLEX-TRIPLEXBrussels;DUPLEX-TRIPLEX;Brussels;1233;3541;8433;
EXCEPTIONAL_PROPERTYBrussels;EXCEPTIONAL_PROPERTY;Brussels;829;4303;10115;
FLAT_STUDIOBrussels;FLAT_STUDIO;Brussels;2000;5262;9604;
GROUND_FLOORBrussels;GROUND_FLOOR;Brussels;1357;3811;8919;
HOUSEBrussels;HOUSE;Brussels;588;3053;9589;
KOTBrussels;KOT;Brussels;4161;7040;10212;
LOFTBrussels;LOFT;Brussels;797;3396;7232;
MANSIONBrussels;MANSION;Brussels;818;3373;8947;
MIXED_USE_BUILDINGBrussels;MIXED_USE_BUILDING;Brussels;468;2490;6250;
PENTHOUSEBrussels;PENTHOUSE;Brussels;1688;4969;13448;
SERVICE_FLATBrussels;SERVICE_FLAT;Brussels;3171;4479;6571;
TOWN_HOUSEBrussels;TOWN_HOUSE;Brussels;1338;2860;5078;
VILLABrussels;VILLA;Brussels;1508;4641;9833;
APARTMENTCharleroi;APARTMENT;Charleroi;460;2427;6122;
APARTMENT_BLOCKCharleroi;APARTMENT_BLOCK;Charleroi;460;1236;3232;
