key_zip_code;sub_properies;locality;zip_code;Min_price_sq;Mean_price_sq;Max_price_sq
APARTMENTAalst9300;APARTMENT;Aalst;9300;1082;3374;4624
APARTMENTAalst9310;APARTMENT;Aalst;9310;2560;3129;3697
APARTMENTAalst9320;APARTMENT;Aalst;9320;1613;3077;3636
APARTMENTAalst9400;APARTMENT;Aalst;9400;1302;2624;3905
APARTMENTAalst9402;APARTMENT;Aalst;9402;1525;2659;3274
APARTMENTAalst9420;APARTMENT;Aalst;9420;2791;2917;3067
APARTMENTAalst9450;APARTMENT;Aalst;9450;2133;2420;2607
APARTMENTAalst9451;APARTMENT;Aalst;9451;2849;2849;2849
APARTMENTAalst9470;APARTMENT;Aalst;9470;2130;3001;3425
APARTMENTAalst9473;APARTMENT;Aalst;9473;2176;2176;2176
APARTMENTAalst9500;APARTMENT;Aalst;9500;539;2367;3467
APARTMENTAalst9520;APARTMENT;Aalst;9520;2637;2637;2637
APARTMENTAalst9550;APARTMENT;Aalst;9550;2173;2742;3933
APARTMENTAalst9620;APARTMENT;Aalst;9620;2129;3458;4570
APARTMENT_BLOCKAalst9300;APARTMENT_BLOCK;Aalst;9300;1994;2285;2576
APARTMENT_BLOCKAalst9310;APARTMENT_BLOCK;Aalst;9310;1395;2240;3084
APARTMENT_BLOCKAalst9400;APARTMENT_BLOCK;Aalst;9400;2339;2339;2339
APARTMENT_BLOCKAalst9500;APARTMENT_BLOCK;Aalst;9500;1030;1030;1030
DUPLEX-TRIPLEXAalst9300;DUPLEX-TRIPLEX;Aalst;9300;654;2503;5085
DUPLEX-TRIPLEXAalst9308;DUPLEX-TRIPLEX;Aalst;9308;1172;2130;3280
DUPLEX-TRIPLEXAalst9310;DUPLEX-TRIPLEX;Aalst;9310;1094;2420;5085
DUPLEX-TRIPLEXAalst9320;DUPLEX-TRIPLEX;Aalst;9320;597;2332;5050
DUPLEX-TRIPLEXAalst9340;DUPLEX-TRIPLEX;Aalst;9340;875;2744;3933
DUPLEX-TRIPLEXAalst9400;DUPLEX-TRIPLEX;Aalst;9400;730;2450;5188
DUPLEX-TRIPLEXAalst9401;DUPLEX-TRIPLEX;Aalst;9401;1946;2241;2458
DUPLEX-TRIPLEXAalst9402;DUPLEX-TRIPLEX;Aalst;9402;1061;2166;3129
DUPLEX-TRIPLEXAalst9403;DUPLEX-TRIPLEX;Aalst;9403;1640;1792;1943
DUPLEX-TRIPLEXAalst9404;DUPLEX-TRIPLEX;Aalst;9404;2117;2394;3260
